Username,Profile URL,Subscribers,Twitter,Instagram,TikTok,LinkedIn,Facebook,YouTube,Linktree,Threads,Bluesky,GitHub,Medium,Other,Scraped At,Category
pragmaticengineer,https://substack.com/@pragmaticengineer,1000000,,,,,,,,,,,,https://newsletter.pragmaticengineer.com/?utm_campaign=profile_chips,2026-01-22 01:51:31,Technology
resumido,https://substack.com/@resumido,3700,,https://instagram.com/resumido.podcast,,https://www.linkedin.com/in/brunonatal/,,,,,,,,,2026-01-22 01:51:31,Technology
jukan,https://substack.com/@jukan,6100,https://twitter.com/Jukan05,,,,,,,,,,,https://www.semiconsam.com/?utm_campaign=profile_chips,2026-01-22 01:51:31,Technology
whytryai,https://substack.com/@whytryai,15000,,,,,,,,,,,,https://www.whytryai.com/?utm_campaign=profile_chips,2026-01-22 01:51:31,Technology
lancecummings,https://substack.com/@lancecummings,2400,,,,,,,,,,,,https://www.isophist.com/?utm_campaign=profile_chips,2026-01-22 01:51:31,Technology
navawhiteford,https://substack.com/@navawhiteford,0,,,,,,,,,,,,,2026-01-22 01:51:31,Technology
thedealdirector,https://substack.com/@thedealdirector,0,https://twitter.com/thedealdirector,,,,,,,,,,,https://www.infraplay.ai/?utm_campaign=profile_chips,2026-01-22 01:51:31,Technology
mule,https://substack.com/@mule,84000,https://twitter.com/_fabknowledge_,,,,,,,,,,,https://www.fabricatedknowledge.com/?utm_campaign=profile_chips,2026-01-22 01:51:31,Technology
seanzcai,https://substack.com/@seanzcai,167,,,,,,,,,,,,,2026-01-22 01:51:31,Technology
smartpromptsforai,https://substack.com/@smartpromptsforai,8800,,,,,https://www.facebook.com/groups/smartprompts,,,,,,,,2026-01-22 01:51:31,Technology
khemaridh,https://substack.com/@khemaridh,37000,,,,,,,,,,,,https://latourai.com/substack,2026-01-22 01:51:31,Technology
excellentaiprompts,https://substack.com/@excellentaiprompts,66000,,,,,,,,,,,,,2026-01-22 01:51:31,Technology
timothyblee,https://substack.com/@timothyblee,166000,,,,,,,,,,,,https://www.understandingai.org/?utm_campaign=profile_chips,2026-01-22 01:51:31,Technology
